Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2006-08-24,Partly Cloudy,rain,13.85555556,13.85555556,0.9,3.381,245,11.9784,0,1016.32,Partly cloudy starting in the morning.
2006-08-25,Partly Cloudy,rain,17.06111111,17.06111111,0.71,10.6582,119,15.8263,0,1011.78,Partly cloudy until evening.
2006-08-26,Mostly Cloudy,rain,16.06666667,16.06666667,0.87,6.5044,306,15.8263,0,1010.12,Partly cloudy until night.
2006-08-27,Partly Cloudy,rain,14.07222222,14.07222222,0.85,6.2468,318,15.8263,0,1010.82,Partly cloudy until afternoon.
2006-08-28,Overcast,rain,15.55555556,15.55555556,0.93,20.8656,291,8.1305,0,1011.3,Mostly cloudy until evening.
2006-08-29,Clear,rain,13.87222222,13.87222222,0.93,3.4776,202,15.8263,0,1007.98,Mostly cloudy starting overnight continuing until night.
2006-08-03,Partly Cloudy,rain,17.13888889,17.13888889,0.87,6.44,300,15.8263,0,1009.64,Mostly cloudy throughout the day.
2006-08-30,Overcast,rain,11.64444444,11.64444444,0.95,3.3327,172,15.8263,0,1009.1,Mostly cloudy until evening.
2006-08-31,Mostly Cloudy,rain,12.22222222,12.22222222,0.86,11.5115,259,14.9086,0,1015.16,Mostly cloudy until night and breezy in the afternoon.
2006-08-04,Mostly Cloudy,rain,19.4,19.4,0.97,10.8192,112,8.1949,0,1000.81,Mostly cloudy until night.
2006-08-05,Mostly Cloudy,rain,16.46111111,16.46111111,0.97,2.9463,286,8.0017,0,1008.74,Partly cloudy until evening.
2006-08-06,Clear,rain,13.98888889,13.98888889,0.92,9.7405,270,9.982,0,0,Partly cloudy starting in the morning.
2006-08-07,Partly Cloudy,rain,15.14444444,15.14444444,0.95,3.1556,153,9.982,0,1009.8,Mostly cloudy throughout the day.
2006-08-08,Mostly Cloudy,rain,16.68888889,16.68888889,0.97,3.4776,279,8.1305,0,1004.25,Partly cloudy until night.
2006-08-09,Partly Cloudy,rain,15.08322222,15.07222222,0.93,6.3273,242,15.8263,0,1008,Partly cloudy starting in the morning.
2006-12-01,Foggy,rain,7.222222222,5.822222222,0.93,7.728,159,2.9785,0,1037.71,Foggy in the morning.
2006-12-10,Overcast,rain,9.044444444,6.2,0.83,19.8674,170,14.812,0,1015.83,Foggy in the morning.
2006-12-11,Foggy,rain,2.205555556,2.205555556,0.96,3.1717,44,1.6261,0,1029.78,Foggy starting in the evening.
2006-12-12,Foggy,rain,2.372222222,2.372222222,0.96,2.5438,21,0.161,0,1029.02,Foggy throughout the day.
2006-12-13,Foggy,rain,0.533333333,-3.566666667,0.96,14.0875,201,1.8837,0,1030.9,Foggy throughout the day.
2006-12-14,Foggy,snow,-0.072222222,-3.638888889,1,11.0285,229,0.322,0,1036.29,Foggy throughout the day.
2006-12-15,Foggy,snow,-1.688888889,-1.688888889,0.96,3.1878,72,0.161,0,1034.72,Foggy throughout the day.
2006-12-29,Mostly Cloudy,rain,2.6345,16.66666667,0.78,3.4615,346,15.8263,0,1010.67,Mostly cloudy until evening.
2006-12-30,Overcast,snow,5.8203,7.02941,0.59,9.813,150,5.9274,0,1037.89,Mostly cloudy until evening.
